buildingRoute,BMSPointName,Master,Controller,PointName,System,System display name,Description,Units,Sample
Rudin345Park\\BCXCellar\\FloorDamper4th1,SpaceTempE,BCXCellar,FloorDamper4th1,SpaceTemp-4^E,S7,,Space Temperature East,Fahrenheit,65.4
Rudin345Park\\BCXCellar\\FloorDamper2nd,SpaceTempE,BCXCellar,FloorDamper2nd,SpaceTemp-2^E,S7,,Space Temperature East,Fahrenheit,72.2
Rudin345Park\\BCX34th\\FloorDamper38th,SpaceTempE,BCX34th,FloorDamper38th,SpaceTemp-38^E,S1,,Space Temperature East,Fahrenheit,74.9
Rudin345Park\\BCX9th\\FloorDamper13th2,SpaceTempE,BCX9th,FloorDamper13th2,SpaceTemp-13^E,S7,,Space Temperature East,Fahrenheit,74.6
Rudin345Park\\BCX9th\\FloorDamper20th,SpaceTempE,BCX9th,FloorDamper20th,SpaceTemp-20^E,S1,,Space Temperature East,Fahrenheit,72.2
Rudin345Park\\BCX9th\\FloorDamper24th,SpaceTempE,BCX9th,FloorDamper24th,SpaceTemp-24^E,S1,,Space Temperature East,Fahrenheit,71.6
Rudin345Park\\BCX9th\\FloorDamper24th,SpaceTempN,BCX9th,FloorDamper24th,SpaceTemp-24^N,S2,,Space Temperature North,Fahrenheit,74.4
Rudin345Park\\BCX9th\\FloorDamper20th,SpaceTempN,BCX9th,FloorDamper20th,SpaceTemp-20^N,S2,,Space Temperature North,Fahrenheit,73.2
Rudin345Park\\BCX9th\\FloorDamper13th2,SpaceTempN,BCX9th,FloorDamper13th2,SpaceTemp-13^N,S8,,Space Temperature North,Fahrenheit,73.2
Rudin345Park\\BCX34th\\FloorDamper38th,SpaceTempN,BCX34th,FloorDamper38th,SpaceTemp-38^N,S2,,Space Temperature North,Fahrenheit,72
Rudin345Park\\BCXCellar\\FloorDamper2nd,SpaceTempN,BCXCellar,FloorDamper2nd,SpaceTemp-2^N,S8,,Space Temperature North,Fahrenheit,73.2
Rudin345Park\\BCXCellar\\FloorDamper4th1,SpaceTempN,BCXCellar,FloorDamper4th1,SpaceTemp-4^N,S8,,Space Temperature North,Fahrenheit,70.3
Rudin345Park\\BCXCellar\\FloorDamper4th2,SpaceTempNE,BCXCellar,FloorDamper4th2,SpaceTemp-4^NE,S12,,Space Temperature North East,Fahrenheit,74.7
Rudin345Park\\BCXCellar\\FloorDamper5th2,SpaceTempNE,BCXCellar,FloorDamper5th2,SpaceTemp-5^NE,S12,,Space Temperature North East,Fahrenheit,74.2
Rudin345Park\\BCXCellar\\FloorDamper2nd,SpaceTempNE,BCXCellar,FloorDamper2nd,SpaceTemp-2^NE,S12,,Space Temperature North East,Fahrenheit,74.2
Rudin345Park\\BCX34th\\FloorDamper40th,SpaceTempNE,BCX34th,FloorDamper40th,SpaceTemp-40^NE,S5,,Space Temperature North East,Fahrenheit,72.8
Rudin345Park\\BCX34th\\FloorDamper35th,SpaceTempNE,BCX34th,FloorDamper35th,SpaceTemp-35^NE,S5,,Space Temperature North East,Fahrenheit,73.5
Rudin345Park\\BCX34th\\FloorDamper38th,SpaceTempNE,BCX34th,FloorDamper38th,SpaceTemp-38^NE,S5,,Space Temperature North East,Fahrenheit,72.5
Rudin345Park\\BCX34th\\FloorDamper36th,SpaceTempNE,BCX34th,FloorDamper36th,SpaceTemp-36^NE,S5,,Space Temperature North East,Fahrenheit,75.3
Rudin345Park\\BCX9th\\FloorDamper13th1,SpaceTempNE,BCX9th,FloorDamper13th1,SpaceTemp-13^NE,S13,,Space Temperature North East,Fahrenheit,75.4
Rudin345Park\\BCX9th\\FloorDamper18th,SpaceTempNE,BCX9th,FloorDamper18th,SpaceTemp-18^NE,S13,,Space Temperature North East,Fahrenheit,72
Rudin345Park\\BCX9th\\FloorDamper20th,SpaceTempNE,BCX9th,FloorDamper20th,SpaceTemp-20^NE,S6,,Space Temperature North East,Fahrenheit,70.6
Rudin345Park\\BCX9th\\FloorDamper24th,SpaceTempNE,BCX9th,FloorDamper24th,SpaceTemp-24^NE,S6,,Space Temperature North East,Fahrenheit,75.1
Rudin345Park\\BCX9th\\FloorDamper32nd2,SpaceTempNE,BCX9th,FloorDamper32nd2,SpaceTemp-32^NE,S6,,Space Temperature North East,Fahrenheit,-327.7
