,nightTemp,mornTemp2,peak,superPeak,superIdx,preheatPeak,totalUsage,nightUsage,pumpTime,conEdPeak,conEdIdx,valid_days,winter_season,predUsage,predPeak,predSuper
6/30/11,72.15,67.5,37.92,35.75,7,1.5,486.185,1.223,6.5,35.7,7.25,TRUE,,458.2935192,34.80309296,32.617836
7/1/11,72.64545455,65.975,35.53,34.2,8,1.61,443.4025,1.3605,5,33.99,9.5,TRUE,,429.0173513,29.41175851,25.87502562
7/2/11,73.94166667,71.775,38.27,38.27,8.75,1.21,406.2775,1.2295,23.75,37.66,8.75,FALSE,,258.9622057,34.17973297,24.04614158
7/3/11,74.38333333,70.64285714,31.11,31.11,9.75,1.09,125.4425,1.1045,1.5,30.79,10,FALSE,,393.8257043,26.23380819,21.20983358
7/4/11,71.75,72.08571429,1.36,1.36,6.25,1.2,25.4625,1.1215,6,1.31,6.25,TRUE,,449.1532178,33.42017855,31.34921926
7/5/11,76.6,72.775,45.89,43.1,6,45.89,434.6175,2.5105,4.75,42.785,6.25,TRUE,,429.0173513,28.86934431,25.60114726
7/6/11,79.25833333,77,42.94,42.26,6.25,1.68,593.8525,1.095,6,41.905,10.75,TRUE,,449.1532178,33.42017855,31.34921926
7/7/11,77.98333333,76.225,42.99,42.99,7,1.39,580.995,1.153,6.5,42.83,7.25,TRUE,,458.2935192,34.80309296,32.617836
7/8/11,77.575,76.63333333,41.91,41.91,7.5,4.27,584.23,1.2175,6,41.48,7.75,TRUE,,449.1532178,33.42017855,31.34921926
7/9/11,70.42647059,68.44285714,40.99,40.69,8.5,1.47,417.175,1.139,5.5,40.04,8.75,FALSE,,429.0173513,30.09795488,26.21877136
7/10/11,76.98333333,71.225,1.62,1.62,7,1.22,26.795,1.1615,0,1.36,7,FALSE,,399.8342786,25.58205157,19.90075497
7/11/11,76.89166667,75.725,64.47,63.22,7,36.32,621.8725,1.0415,6.5,62.51,7,TRUE,,458.2935192,34.80309296,32.617836
7/12/11,82.01666667,79.3,68.07,68.07,6.5,28.6,891.0875,1.062,6.25,66.275,6.75,TRUE,,445.7383083,31.00922126,29.08004324
7/13/11,84.35,77,63.32,43.35,6.25,5.89,638.7825,1.057,6,42.465,10.25,TRUE,,449.1532178,33.42017855,31.34921926
7/14/11,71.825,67.225,39.01,35.01,10.25,1.25,501.105,1.1725,6.5,34.94,10.5,TRUE,,458.2935192,34.80309296,32.617836
