"on_for","today_on_time","totalmw","today_kwh","-","today_standby_time","name","current_power","device","total_mw"
"11548","183","","0.004781950095639","-","183","2015-06-10 00:03:01","95350","",""
"17330","35083","831383949","0.84238066684761","-","35084","2015-06-13 10:16:02","92985","refrigerator",""
"14636","57092","633374871","1.3760552275211","-","57092","2015-06-11 17:31:01","96105","refrigerator",""
"17390","35143","831477377","0.84393780021209","-","35143","2015-06-13 10:17:02","93305","refrigerator",""
"15290","33043","828495227","0.79423529921804","-","33043","2015-06-13 09:42:01","93490","refrigerator",""
"13191","4034","786554808","0.095228301904566","-","4034","2015-06-13 01:07:02","95650","refrigerator",""
"532","18284","691293251","0.44452522555717","-","18284","2015-06-12 05:36:01","102235","refrigerator",""
"13375","4210","670661936","0.10066996868007","-","4210","2015-06-12 01:10:02","95620","refrigerator",""
"1972","19723","693380320","0.47930970958619","-","19724","2015-06-12 06:00:02","98080","refrigerator",""
"16769","59223","","1.420198078404","-","59223","2015-06-09 17:30:01","94505","",""
"3453","18995","","0.46089210921784","-","18995","2015-06-10 05:48:02","97060","",""
"4730","76312","774636343","1.8335767866715","-","76312","2015-06-12 22:46:02","96845","refrigerator",""
"24689","67143","","1.6081813488303","-","67143","2015-06-09 19:42:02","94375","",""
"18711","9554","794576398","0.2289214712451","-","9554","2015-06-13 02:39:01","95860","refrigerator",""
"17450","35203","831477377","0.84393780021209","-","35203","2015-06-13 10:18:01","92880","refrigerator",""
"16353","31895","","0.76682608200319","-","31895","2015-06-10 09:23:01","94460","",""
"1351","43804","","1.0540778544149","-","43804","2015-06-10 13:13:02","98715","",""
"26911","42453","","1.0187801370423","-","42453","2015-06-10 12:48:02","210","",""
"22551","67224","761290525","1.6111464822229","-","67224","2015-06-12 19:43:01","94725","refrigerator",""
"17609","60063","","1.4391233454491","-","60063","2015-06-09 17:44:02","94985","",""
"231","44904","729337559","1.0785970382386","-","44904","2015-06-12 13:31:02","112940","refrigerator",""
"22714","38256","","0.91796993502606","-","38256","2015-06-10 11:09:01","94775","",""
"8","44673","728940838","1.0719850214397","-","44673","2015-06-12 13:12:02","215","refrigerator",""
"18111","62784","754956114","1.5055729634448","-","62784","2015-06-12 18:29:01","95330","refrigerator",""
"23430","65883","","1.5781666315633","-","65884","2015-06-09 19:21:03","94300","",""
"20213","37965","719379598","0.91263101825262","-","37965","2015-06-12 11:04:02","93920","refrigerator",""
"3331","45784","","1.1026411887195","-","45784","2015-06-10 13:46:03","96410","",""
"10466","13964","","0.36629704065927","-","13964","2015-06-08 15:45:03","108295","",""
"21351","12194","798308700","0.29112650582253","-","12194","2015-06-13 03:23:01","95645","refrigerator",""
"14211","58884","749382685","1.4126824782536","-","58884","2015-06-12 17:24:01","93065","refrigerator",""
"14455","5290","672295936","0.12790330255807","-","5290","2015-06-12 01:28:02","96095","refrigerator",""
"235","42691","","1.0259391371854","-","42691","2015-06-11 13:31:01","118145","refrigerator",""
"4250","22003","812831031","0.53316536066331","-","22003","2015-06-13 06:38:02","95720","refrigerator",""
"5811","50484","737462637","1.2140150076136","-","50484","2015-06-12 15:04:02","95265","refrigerator",""
"19012","63685","756190570","1.5261472305229","-","63685","2015-06-12 18:44:02","94915","refrigerator",""
"19671","10514","795917847","0.25127895502558","-","10514","2015-06-13 02:55:02","95740","refrigerator",""
"11329","29082","822871600","0.70050818067683","-","29082","2015-06-13 08:36:01","93910","refrigerator",""
"16071","6914","790752430","0.16518866997044","-","6914","2015-06-13 01:55:02","95505","refrigerator",""
"24776","67232","647976269","1.6194118657216","-","67232","2015-06-11 20:20:02","96070","refrigerator",""
"4432","22184","697074545","0.54088012748427","-","22184","2015-06-12 06:41:02","95905","refrigerator",""
"210","42663","","1.025301320506","-","42663","2015-06-10 12:54:01","113590","",""
"9595","430","665198055","0.009605283525439","-","430","2015-06-12 00:07:02","95960","refrigerator",""
"10490","28243","821746202","0.68175154696836","-","28243","2015-06-13 08:22:02","94120","refrigerator",""
"26332","71005","766680662","1.7009821006863","-","71005","2015-06-12 20:46:02","94925","refrigerator",""
"15595","6430","673933235","0.1551916197705","-","6430","2015-06-12 01:47:02","96385","refrigerator",""
"7851","52524","740376917","1.2625863419184","-","52524","2015-06-12 15:38:01","94135","refrigerator",""
"21530","39283","837336272","0.94158605216505","-","39283","2015-06-13 11:26:01","93850","refrigerator",""
"25371","16214","804145121","0.38840019110134","-","16215","2015-06-13 04:30:02","96040","refrigerator",""
"5455","47911","","1.1566341397993","-","47911","2015-06-11 14:58:02","95630","refrigerator",""
"26674","42216","","1.0127767035889","-","42216","2015-06-10 12:15:02","94805","",""
"10730","28483","822027362","0.68643754706208","-","28483","2015-06-13 08:26:02","94040","refrigerator",""
"26913","42456","","1.017701470354","-","42456","2015-06-11 12:43:02","215","refrigerator",""
"26909","71582","767509302","1.7147927676292","-","71582","2015-06-12 21:00:01","200","refrigerator",""
"26910","17753","806411650","0.42617567519018","-","17753","2015-06-13 05:03:01","195","refrigerator",""
"14192","29734","","0.71662619766586","-","29734","2015-06-10 08:47:01","94380","",""
"12023","15521","","0.40780679148947","-","15521","2015-06-08 16:11:00","100460","",""
"7708","77073","","1.8514400870288","-","77073","2015-06-09 22:59:02","95620","",""
"9088","51542","","1.237350424747","-","51542","2015-06-09 15:22:01","94360","",""
"3805","7303","","0.19322240386445","-","7304","2015-06-08 13:54:03","100640","",""
"9268","78633","","1.8896798877936","-","78633","2015-06-09 23:25:01","95615","",""
"13492","58165","748348570","1.3954472279089","-","58165","2015-06-12 17:12:02","94155","refrigerator",""
"26632","71305","767060172","1.7073072674795","-","71305","2015-06-12 20:51:01","94655","refrigerator",""
"11368","53822","","1.2907828424823","-","53822","2015-06-09 16:00:01","94285","",""
"2331","47004","732519800","1.1316343892994","-","47004","2015-06-12 14:06:01","96240","refrigerator",""
"19432","37184","718346259","0.89540870124151","-","37184","2015-06-12 10:51:01","93525","refrigerator",""
"952","18702","691898076","0.45460564242545","-","18704","2015-06-12 05:43:02","99530","refrigerator",""
"4832","20374","","0.49459609322525","-","20374","2015-06-10 06:11:01","97055","",""
"21654","78435","","1.9033113713996","-","78435","2015-06-05 17:22:01","95535","",""
"8486","11984","","0.31115448955642","-","11984","2015-06-08 15:12:04","97930","",""
"26917","17752","690354280","0.42887570857751","-","17752","2015-06-12 05:00:01","165","refrigerator",""
"23736","39278","","0.94164008549947","-","39278","2015-06-10 11:26:04","94210","",""
"19162","34705","","0.83354885000431","-","34705","2015-06-11 10:09:50","94705","refrigerator",""
"24449","13084","","0.31339458960123","-","13084","2015-06-10 03:38:02","95740","",""
"1170","43623","","1.0491661709833","-","43623","2015-06-10 13:10:01","98365","",""
"18389","60843","","1.4580915958285","-","60843","2015-06-09 17:57:02","93920","",""
"6171","77753","776761732","1.86899993738","-","77753","2015-06-12 23:10:02","95990","refrigerator",""
